id,id_topic,cs_lemma,cs_examples,literal_en,meanings_en,preffered_rendering_en,detector_notes,source,# of sentences -1,difficulty
59,7,jako|by|se|nechumelit,"Přišel tam a tvářil se, jako by se nechumelilo.|Šel ven v tom největším dešti, jako by se nechumelilo.|Přestože měl se mnou spor, přišel na naší večeři, a chovali se ke mě, jako by se nechumelilo.",as if it weren't snowing,to act as if nothing had happened,as if nothing had happened,Negated impersonal verb 'nechumelit',,2,medium
60,7,dělat|jakoby|nic,"Dělal, jako by nic.|Rozbil vázu a dělal jakoby nic.|Přestože jsme se pohádali, před kamarády se choval jakoby nic.",to do as if nothing,to act as if nothing had happened,as if nothing had happened,also: jakoby = jako by,,2,medium
61,,zdravý|jako|rybička,"Většinu roku jsem zdravý jako rybička.|Můj syn nebyl zatím ani jednou nemocný, je zdravý jako rybička.|Jestli chceš být zdravý jako rybička, musíš si dát teď se mnou lžičku rybího tuku.",as healthy as a fish,to be in perfect health,as fit as a fiddle,,,2,easy
62,,být|oheň|na|střecha,"Jakmile přijdu domů o hodinu později, je hned oheň na střeše.|Jestliže po sobě neuklidíš, bude oheň na střeše, až přijde táta z práce a uvidí to.|Jednou nevyklidil myčku, a hned byl oheň na střeše.",there is fire on the roof,there is serious trouble or a crisis,all hell breaks loose,,,2,easy
63,,jeden|o|vůz|druhý|o|koza,"Domluvit se s nimi nemá smysl, jeden mluví o koze, druhý o voze.|Když se s ním bavím, mám pocit, že jeden mluví o koze a druhý o voze.|Proč když já mluvím o koze, on musí vždycky mluvit o voze?","one about a cart, the other about a goat",mutual misunderstanding due to talking about different things,to talk at cross purposes,"Stored lemma order may not match text - key on the pair, not sequence.",,2,hard
64,8,tahat|kačer,"Když já už jsem chodil do školy, ty jsi ještě tahal kačera.|Můj bratr tahal kačera, když jsem nastoupila na vysokou školu.|To si nemůžeš pamatovat, to jsi ještě tahal kačera.",to still pull a duck,being too young,to be just a small kid,,,2,medium
65,8,téct|mléko|po|brada,"To mu ještě teklo mlíko po bradě, když jsem šel poprvé do práce.|To si nemůžeš pamatovat, to ti ještě teklo mléko po bradě.|Pamatuju si revoluci, ale to ty ne, tobě ještě teklo mléko po bradě, když jsme cinkali klíčemi.",milk is still running down his chin,being too young,to be wet behind the ears,mléko=mlíko,,2,medium
66,9,ježkovy|oči,"Ježkovy voči!|Ježkovy voči, no to se mi snad jenom zdá.|Ježkovy voči, takový průser jsem nečekala.",Hedgehog's eyes!,interjection,oh my gosh,,,2,easy
67,9,kristův|rána,"Pro kristovy rány, co to děláš?|Pro kristovy rány, to jsou ale blesky.|Pro kristovy rány, řekni mi, že neodletěl do Izraele.",By Christ's wounds!,interjection,good grief,,,2,medium
68,9,panenka|skákavá,"Panenko Skákavá, to jsme to ale dopracovali.| Panenko Skákavá, to snad neni možný.|Panenko Skákavá, to nemyslíš važně!",Jumping Virgin!,interjection,good heavens,,,2,easy
69,,jít|hlava|proti|zeď,"Snažit se v této firmě prosadit změnu je jako jít hlavou proti zdi.|Obvykle chodívám hlavou proti zdi, protože je to zábavnější a dobrodružnější.|Nechoď za každou cenu hlavou proti zdi.",to go headfirst into a wall,to persist in a nearly hopeless effort against strong opposition,to bang your head against a brick wall,,,2,hard
70,,kápnout|božská,Nakonec kápnul božskou a přiznal se ke krádeži.|Tak už sakra kápni božskou.|Až na smrtelné posteli kápl božskou.,to drop the divine,to tell the truth or confess,to come clean,,,2,hard
71,,kázat|voda|pít|víno,"Kázal vodu, ale pil víno.|Tím, že piješ alkohol, ale chceš ho plošně zakázat, kážeš vodu a piješ víno - doslova.|Plno politiků káže vodu, přitom pije víno.",to preach water and drink wine,to expect others to follow standards that you ignore yourself,to not practice what you preach,Two-clause coordinated idiom,,2,hard
72,,kdo|jiný|jáma|kopat|sám|do|ní|padat,"Kdo jinému jámu kopá, sám do ní padá.|Ve školce jsme se učili, že kdo jinému jámu kopá, sám do ní spadne.|Vymstilo se mu to, protože kdo jinému jámu kopá, sám do ní padá.",he who digs a pit for another falls into it himself,someone's malicious actions often rebound on them,what goes around comes around,Sentential proverb; contains anaphoric pronoun 'ní' referring back to 'jáma' (fem.) rather than repeating the noun. Detector must include the pronoun in the pattern — lemmatizing 'ní' will not yield 'jáma'. Wide window needed across the two clauses.,,2,medium
73,,klást|na|srdce,"Rodiče mu neustále kladli na srdce, aby byl opatrný.|Často svému synovy kladu na srdce, že musíme být k sobě laskaví.|Kladli mi na srdce, abych se staral o své mentální zdraví.",to lay (something) on someone's heart,to earnestly urge someone or impress the importance of something upon them,to impress upon someone,Separable: dative (komu) and accusative (co) objects insert between 'klást' and 'na srdce' (e.g. 'kladu ti to na srdce'). Requires gapped matching.,,2,medium
74,,komu|není|rady|tomu|není|pomoci,"Komu není rady, tomu není pomoci.|Někdy nezmůžeš nic, protože komu není rady, tomu není pomoci.|Otec mi často říkával, že komu není rady, tomu není pomoci.","to whom there is no advice, there is no help",someone who ignores advice cannot be helped,you can’t help someone who won’t help themselves,,,2,easy
75,,kupovat|zajíc|v|pytel,"Kupuješ zajíce v pytli.|Koupit auto přes internet bez předchozí prohlídky je jako kupovat zajíce v pytli.|Koupil zajíce v pytli, když si to objednal online.|Nemůžeš vědět, jestli ti ty šaty sednou, kupuješ zajíce v pytli, a možná to pak budeš chtít vrátit.",to buy a rabbit in a sack,to buy something without inspecting it,to buy a pig in a poke,kupovat=koupit. Appears with kupovat AND koupit (both aspects). ,,3,hard
76,,lámat|přes|koleno,"Pokud už to ve vztahu neklape, nemá smysl to lámat přes koleno.|Nic se nemá lámat přes koleno.|Lámáním přes koleno nic neurychlíš.",to break over the knee,to force something through without regard for constraints,to ram something through,,,2,hard
77,,ležet|na|srdce,"Chci se ti svěřit s něčím, co mi už dlouho leží na srdci.|Cítila jsem velkou úlevu, když jsem mu konečně řekla, co mi dlouho leželo na srdci.|Leží mi na srdci blaho všech lidí.",to lie on someone’s heart,to be very important or emotionally significant to someone like a burden,to weigh on someone’s mind|to be close to someone’s heart,English equivallent depends on context: to weigh on someone’s mind/to be close to someone's heart,,2,hard
78,,lézt|jako|z|chlupatá|deka,"Leze to z tebe jak z chlupaté deky.|Musíš si být víc jistý sám sebou, aby to z tebe nelezlo jak z chlupaté deky.|Když jsem se ptala, co se stalo, lezlo to z nich jako z chlupaté deky.",to come out of someone like from a hairy blanket,to obtain information only very slowly and with difficulty,to be like pulling teeth,,,2,hard
79,,lhát|do|kapsa,"Přestaňme si lhát do kapsy.|Nelžete nám tu do kapsy a přiznejte, kdo vám to řekl.|Lžete si do kapsy pouze sám sobě.",to lie into one’s pocket,to deceive oneself,to kid oneself,,,2,hard
80,10,stát|to|za|stará|bela,"Stojí to za starou belu to stáří.|Ty jahody, které jsme dnes koupili, stojí za starou belu.|Plno nových výrobků stojí za starou belu.|Stávalo to za starou belu, ale poslední dobou je to lepší.",it is worth an old “bela”,something is worthless or very bad,it’s not worth a damn,,,3,hard
81,10,stát|to|za|stará|bačkora,"Stojí to za starou bačkoru.|Po té operaci kyčle to stojí za starou bačkoru.|Od té doby, co mi zemřela manželka, život stojí za starou bačkoru.",it is worth an old slipper,something is worthless or very bad,it’s rubbish,,,2,hard
82,11,lít|jako|z|konev,"Venku leje jako z konve.|Vezměte si deštník, leje tam jak z konve.|Není bouřka, ale leje tam jak z konve.",to pour like from a watering can,to rain very heavily,to pour down,,,2,medium
83,11,padat|trakaře,"I kdyby padaly trakaře, na tu schůzku musím doběhnout.|Babička by řekla nikoli, že prší, ale že padají trakaře.|Taky máš rád takové to počasí, kdy je bouřka a padají trakaře?",wheelbarrows are falling,to rain very heavily,to rain cats and dogs,,,2,medium
84,12,loučení|se|svoboda,Tradiční loučení se svobodou se koná týden před obřadem.|Někdo o loučení se svobodou před svatbou příliš nestojí.|Náš kamarád se velmi kvalitně loučil se svobodou po celý víkend.,farewell to freedom,pre-wedding party before marriage,bachelor party|bachelorette party,,,2,medium
